trust_name,title,post_date,url,address,city,building,sale_content
무궁화신탁,"충청남도 아산시 음봉면 신휴리 792 제102호, 103호 개별매각 공고",2023-01-12,http://mghat.com/auction/disposal/1453/show.do?page=249,충청남도 아산시 음봉면 신휴리 792,충청남도 아산시,,"제102호,103호 개별매각 공고"
무궁화신탁,경상북도 청도군 청도읍 고수리 941 다세대주택 5개호실 개별매각 공고,2023-01-09,http://mghat.com/auction/disposal/1452/show.do?page=249,경상북도 청도군 청도읍 고수리 941,경상북도 청도군,다세대주택,5개호실 개별매각 공고
무궁화신탁,"서울특별시 동작구 사당동 43-18, 44-216 디에스리브1단지101동 6개 호수 개별매각공고",2023-01-09,http://mghat.com/auction/disposal/1451/show.do?page=249,"서울특별시 동작구 사당동 43-18, 44-216",서울특별시 동작구,디에스리브1단지,101동 6개 호수 개별매각공고
무궁화신탁,세종특별자치시 대평동 678 제1층 제102호 외 80호실 근린생활시설 일괄매각,2023-01-06,http://mghat.com/auction/disposal/1450/show.do?page=249,,,세종특별자치시,대평동 678 제1층 제102호 외 80호실 근린생활시설 일괄매각
무궁화신탁,인천광역시 연수구 송도동 22-20 토지 및 미준공 건물 일괄 매각 공고,2023-01-06,http://mghat.com/auction/disposal/1449/show.do?page=249,인천광역시 연수구 송도동 22-20,인천광역시 연수구,미준공,토지 및 건물 일괄 매각 공고
무궁화신탁,"제주특별자치도 서귀포시 동홍동 620-1 제에이동,제비동 6호실 일괄매각",2022-12-30,http://mghat.com/auction/disposal/1448/show.do?page=249,제주특별자치도 서귀포시 동홍동 620-1,제주특별자치도 서귀포시,제에이동,제비동 6호실 일괄매각
무궁화신탁,경기도 평택시 지산동 401-5 외4 에스-클래스5단지 제503동 제1층 제101호 매각공고,2022-12-26,http://mghat.com/auction/disposal/1447/show.do?page=249,경기도 평택시 지산동 401-5,경기도 평택시,에스-클래스5단지,제503동 제1층 제101호 매각공고
무궁화신탁,충청남도 천안시 동남구 청수9로 47 근린생활시설 13개호실 개별매각 공고,2022-12-23,http://mghat.com/auction/disposal/1446/show.do?page=249,충청남도 천안시 동남구 청수9로 47,충청남도 천안시 동남구,근린생활시설,13개호실 개별매각 공고
무궁화신탁,대전광역시 중구 목동 363 엠스타목동타운 제101동 제1층 제102호 외 31호실 도시형생활주택 일괄매각,2022-12-23,http://mghat.com/auction/disposal/1445/show.do?page=249,대전광역시 중구 목동 363,대전광역시 중구,엠스타목동타운,제101동 제1층 제102호 외 31호실 도시형생활주택 일괄매각
무궁화신탁,인천광역시 옹진군 영흥면 내리 724-28 주/상용건물 일괄매각 공고,2022-12-23,http://mghat.com/auction/disposal/1444/show.do?page=249,인천광역시 옹진군 영흥면 내리 724-28,인천광역시 옹진군,상용건물,주/일괄매각 공고
무궁화신탁,충청북도 음성군 원남면 하노리 155-2 공장시설 및 토지 일괄매각 공고,2023-01-26,http://mghat.com/auction/disposal/1463/show.do?page=248,충청북도 음성군 원남면 하노리 155-2,충청북도 음성군,공장시설,및 토지 일괄매각 공고
무궁화신탁,"서울특별시 동작구 대방동 501 지하1층 116호 , 지하2층 201호 근린생활시설 일괄매각 공고",2023-01-19,http://mghat.com/auction/disposal/1462/show.do?page=248,서울특별시 동작구 대방동 501,서울특별시 동작구,근린생활시설,"지하1층 116호,지하2층 201호 일괄매각 공고"
무궁화신탁,대전광역시 서구 만년동 281 상록수아파트 제102동 108호 매각공고,2023-01-19,http://mghat.com/auction/disposal/1461/show.do?page=248,대전광역시 서구 만년동 281,대전광역시 서구,상록수아파트,제102동 108호 매각공고
무궁화신탁,경기도 화성시 팔탄면 해창리 259-65 외 공장 및 토지(기계기구 포함) 일괄매각공고,2023-01-13,http://mghat.com/auction/disposal/1460/show.do?page=248,경기도 화성시 팔탄면 해창리 259-65,경기도 화성시,,공장 및 토지(기계기구 포함) 일괄매각공고
